English,Slovak
aren,areál
hit,zasiahnuť
taking,preberanie
easy,ľahký
times,časy
check,kontrola
hands,ruky
minutes,minúta
deal,obchod
different,odlišný
means,prostriedok
point,bod
inside,vo vnútri
makes,robiť
asked,požiadaný
somebody,niekto
mine,vyťažiť
making,tvorba
body,tela
afraid,strašný
sleep,spať
chance,šanca
dear,drahá
quite,celkom
four,štvorka
anyway,aj tak
close,Zavrieť
ain,ain
party,večierok
fun,zábava
against,proti
word,označenie
comes,prichádza
important,dôležitý
set,súbor
shall,má
story,príbeh
number,počet
daughter,dcéra
least,najmenší
waiting,čakajúci
hurt,ublížiť
wish,želanie
moment,moment
fight,boj
week,týždeň
husband,manžel
girls,dievčatá
rest,odpočinok
married,vydatá
fire,oheň
game,hra
nobody,nikto
mr,Pán
children,deti
side,strana
stand,stáť
read,čítať
though,predsa
cut,vyrezať
started,začínajúci
sister,sestra
supposed,predpokladaný
between,medzi
child,dieťa
goes,ísť
hours,hodiny
speak,hovoriť
women,ženy
behind,za
almost,takmer
truth,pravda
blood,krv
able,schopný
lady,dáma
anymore,už
playing,hranie
gets,získať
shot,strela
reason,dôvod
trouble,trápenie
break,prestávka
war,vojna
city,mesto
walk,prechádzať sa
town,mesto
trust,dôverovať
dr.,DR.
met,stretnúť sa
office,kancelária
question,spochybniť
brought,priniesla
yours,tvoj
welcome,privítať
high,vysoký
wow,Wow
couple,pár
half,polovica
died,zomrel
cool,ochladiť
free,zadarmo
either,ani
seems,javí sa
power,moc
whoa,hieš
bye,zbohom
buy,nákup
telling,rozprávanie
honey,med
tried,prerušený
front,predná strana
team,tím
answer,odpoveď
gun,pištoľ
boys,chlapci
line,linka
send,odoslať
news,novinky
stupid,hlúpy
bed,posteľ
hurry,ponáhľať sa
full,plný
months,mesiace
save,uložiť
sometimes,niekedy
become,stať sa
along,pozdĺž
hate,nenávidieť
food,jedlo
outside,vonkajší
light,svetlo
l,lokalita
needs,potreby
dog,pes
country,krajina
clear,jasný
order,objednať
em,emócia
fact,skutočnosť
lord,lož
captain,kapitán
six,šesť
hot,horúci
funny,vtipný
black,čierna
mrs.,Pani.
alive,živý
pick,vyzdvihnúť
feeling,pocit
living,živý
cause,spôsob
ahead,dopredu
lose,stratiť
king,kráľ
plan,plán
dinner,večera
sighs,vzdych
sort,triediť
leaving,opúšťať
shouldn,nemal by
running,bežný
boss,šéf
alright,v poriadku
promise,sľubovať
taken,vzaté
safe,bezpečný
ma,mamička
book,rezervovať
sent,odoslaný
white,biely
hour,hodina
anybody,ktokoľvek
small,malý
perfect,dokonalý
cause,spôsob
lives,životy
special,špeciálny
parents,rodičia
s,siežko
john,john
himself,sám
perhaps,možno
sounds,zvuky
serious,vážny
sick,chorý
company,spoločnosť
ha,haš
scared,vystrašený
uncle,strýko
poor,chudobný
red,červený
past,minulosť
earth,zem
possible,možný
shoot,zastreliť
touch,dotýkať sa
sound,znieť
top,vrchol
ass,zadok
laughs,smiech
cannot,nemôžu
asking,žiadosť
win,vyhrať
glad,radosť
control,ovládanie
hmm,hmm
human,ľudský
drive,v jazde
hair,vlasy
jack,jačko
bitch,suka
luck,šťastie
murder,vražda
happens,stavať sa
air,vysielať
ten,desať
daddy,otec
finally,konečne
chuckles,smiech
fast,rýchly
cold,chladný
seem,zdať sa
laughing,smiech
words,slova
hospital,NEMOCNICA
street,ulic
hang,visieť
dance,tancovať
meeting,stretnutie
till,až do
others,ďalší
catch,chytiť
follow,sledovať
sense,zmysel
sex,pohlavie
lie,ležať
evening,večer
master,majster
known,známy
dream,snívať
write,zápis
million,milión
voice,hlas
sweet,sladký
rather,skôr
felt,plsný
sign,znak
lucky,šťastie
somewhere,niekde
bet,staviť
o,o
jesus,Ježiš
longer,dlhšie
calling,volanie
worked,pracujúci
quiet,utíšiť sa
looked,vyzerajúci
less,menej
pull,SEM
beat,poraziť
careful,opatrný
coffee,káva
return,návrat
secret,tajomstvo
weeks,týždne
weren,utiecť
date,dátum
seeing,výskyt
fall,spadnúť
given,vzhľadom
ooh,hanba
fault,porucha
straight,priamy
takes,zaberať
song,pieseň
future,budúcnosť
gentlemen,páni
loved,Miloval
changed,zmenený
road,cesta
calm,upokojiť
wonderful,úžasný
mad,šialený
turned,otočený
drop,pokles
ladies,Dámske
learn,učiť sa
step,sťahovať
absolutely,úplne
early,skoré
explain,vysvetliť
clean,vyčistiť
piece,kus
yesterday,včera
throw,hodiť
picture,predstaviť si
land,pôda
feet,nohy
wonder,zázrak
questions,otázky
speaking,hovorený
worth,hodnota
darling,miláčik
dude,Frajer
giving,dávajúci
president,prezident
eye,prezerať
quick,rýchly
moving,pohybujúci sa
figure,obrázok
state,štát
strong,silný
sam,sama
none,žiadny
amazing,úžasný
ones,tí
works,Tvorba
act,konať
needed,potrebný
weird,čudný
law,zákon
worried,ustarostený
report,správa
goodbye,Zbohom
missing,chýbajúci
choice,výber
happening,dej
chief,šéf
wedding,svadba
strange,podivný
general,všeobecný
pain,bolesť
am,am
kidding,sranda
decided,rozhodujúci
ya,ya
pass,prejsť
tired,unavený
class,trieda
officer,úradník
kept,udržiavaný
wake,prebudenie
worse,horší
busy,zaneprázdnený
eh,eh
mistake,chyba
kiss,bozkávať
court,súd
building,výstavba
finish,skončiť
during,v priebehu
age,Vek
ship,odoslať
caught,chytený
marry,vydať sa
meant,zamýšľajúci
sell,predať
dark,tmavý
watching,sledovanie
system,systém
suppose,predpokladať
evidence,dôkaz
movie,film
ride,jazdiť
t,tón
completely,úplne
mouth,ústie
totally,naprosto
birthday,narodeniny
tv,televízor
forgive,odpustiť
born,narodený
imagine,predstaviť si
information,informácie
instead,namiesto toho
definitely,určite
security,zabezpečenie
certainly,určite
film,film
month,mesiac
lying,ležiaci
unless,pokiaľ
train,vlak
seven,sedem
wear,obliecť sa
clothes,oblečenie
michael,Michael
hotel,hotel
christmas,vianočné
attack,zaútočiť
hasn,hasen
round,okrúhly
expect,očakávať
sing,spievať
terrible,hrozný
george,George
bag,vrecko
history,história
blue,Modrá
near,blízko
broke,zlomený
station,stanica
seriously,vážny
forever,navždy
david,David
frank,úprimný
except,okrem
thinks,myslieť
message,správa
entire,celkový
joe,joe
table,tabuľka
talked,hovorený
across,naprieč
rock,hnusiť
lovely,milý
handle,manipulovať
middle,stredný
buddy,kamarát
paid,platený
protect,chrániť
using,použitím
floor,podlaha
ran,udelený
swear,prisahať
spend,utrácať
situation,situácia
ring,zazvoniť
anywhere,kdekoľvek
dangerous,nebezpečný
bill,vyúčtovanie
york,York
army,armáda
lead,viesť
bought,kúpený
finished,hotový
fair,fér
sun,slnko
letter,písmeno
fool,oklamať
attention,pozornosť
club,klub
simple,jednoduchý
interesting,zaujímavý
space,priestor
test,skúška
box,škatuľa
group,zoskupenie
single,slobodný
sitting,sedenie
marriage,manželstvo
join,pripojiť sa
fear,strach
d,d
peace,pokoj
forgot,Zabudol
force,sila
short,krátky
normal,normálny
charlie,charlie
present,predstavovať
enjoy,Užite si to
mike,mikrofón
crime,zločin
horse,koň
ground,uzemniť
american,americký
count,počítať
area,oblasť
charge,poplatok
honor,ctiť
lunch,obed
miles,míle
radio,rozhlas
idiot,idiot
ball,loptička
surprise,prekvapiť
paper,papier
key,kľúč
boat,čln
quickly,rýchlo
gold,zlato
bar,bar
fish,rybárstvo
mark,znak
tom,trik
wearing,nosenie
crying,plač
accident,nehoda
government,vláda
eight,osem
fell,spadnúť
cover,pokryť
certain,istý
interested,zainteresovaný
deep,hlboký
star,hviezda
sea,more
agree,súhlasiť
problems,problémy
detective,detektív
prison,väzenie
major,hlavný
stick,palica
offer,ponúknuť
difficult,ťažký
smart,inteligentný
personal,osobný
record,zaznamenať
stopped,zastavený
hide,skryť
whether,či
bank,breh
trip,vyraziť
relax,uvoľniť sa
america,Amerika
public,verejný
list,zoznam
afternoon,popoludnie
brain,mozog
fix,upevniť
bastard,bastard
proud,hrdý
tea,čaj
service,služba
screaming,krikľavý
forward,vpred
angry,nahnevaný
park,park
soul,duša
fighting,bojový
peter,Peter
rich,bohatý
agent,pracovník
blow,odfúknuť
paul,Pavol
dress,šaty
mary,Mary
missed,zmeškaný
scene,scéna
killing,zabíjanie
standing,stojace
saved,uložený
mm,mm
respect,úcta
killer,zabijak
ice,ľad
mess,pokaziť sa
tough,tvrdý
feels,cítiť sa
church,cirkev
sad,smutný
cell,bunka
drunk,opitý
share,zdieľam
camera,fotoaparát
mm-hmm,mm-hmm
within,v rámci
card,karta
fly,preletieť
ben,ben
girlfriend,priateľka
laugh,smiech
smell,vôňa
broken,zlomený
mum,mama
honest,úprimný
often,často
starting,spustenie
calls,volania
y,y
spent,utratený
third,tretí
english,Angličtina
visit,navštevovať
mama,mamička
judge,posudzovať
window,okno
hungry,hladný
dare,odvážiť sa
relationship,vzťah
moved,presťahovaný
prove,dokázať
private,súkromné
wall,múr
seat,sedadlo
i-i,i-i
position,pozícia
lieutenant,poručík
realize,realizovať
lt,lt
especially,najmä
machine,stroj
walking,prechádzka
art,umenia
pleasure,potešenie
bloody,krvavý
college,vysoká škola
french,francúzsky
involved,zapojený
cry,kričať
became,sa stal
lived,živý
impossible,nemožný
obviously,samozrejme
neither,ani
accept,súhlasiť
boyfriend,priateľ
besides,okrem
queen,kráľovná
teacher,učiteľ
cops,policajti
sake,v záujme
loves,milovať
carry,prenášať
teach,učiť
apartment,byt
upset,rozčúlený
green,zelená
la,LA
liked,rád
cute,roztomilý
evil,zlý
professor,profesor
contact,kontakt
joke,žartovať
cop,policajt
huge,obrovský
holy,svätý
store,ukladať
jail,väzenie
likes,podobné
lawyer,právnik
doubt,pochybnosť
continue,ďalej
appreciate,oceniť
cat,mačka
shop,obchod
driving,jazdný
congratulations,blahoželanie
wrote,napísaný
village,dedina
quit,prestať
field,lúka
james,James
wine,víno
decision,rozhodnutie
south,na juh
sleeping,spiaci
slow,pomaly
laughter,smiech
island,ostrov
glass,pohár
beginning,začiatok
cash,hotovosť
dying,umieranie
hundred,sto
whose,koho
difference,rozdiel
plane,lietadlo
push,TAM
continues,pokračuje
mmm,mmm
singing,spev
eating,jedenie
north,sever
mrs,Pani
tree,strom
madam,pani
gift,darček
truck,nákladný automobil
putting,ukladanie
bear,nosiť
board,doska
grab,uchmatnúť
beer,pivo
stuck,uviaznutý
magic,kúzlo
support,podpora
rules,pravidlá
grunts,zavrčanie
partner,partnera
reach,dostať sa
wind,vŕtať
colonel,plukovník
max,maximálny
immediately,okamžite
seconds,sekundy
thousand,tisíc
gives,dávať
experience,zážitok
cheers,na zdravie
victim,obeť
upon,na
computer,počítač
christ,Kristus
planet,planéta
promised,sľúbený
bus,autobus
henry,henry
dirty,špinavý
search,Vyhľadávanie
staying,ubytovací
dreams,sny
arrest,zatknúť
holding,držanie
suddenly,náhle
usually,zvyčajne
lots,veľa
shoes,topánky
er,erograf
jump,skok
rid,zbavovať sa
yo,jo
knock,klepanie
owe,dlžiť
harry,hrebeň
grow,"rásť, pestovať"
worst,najhorší
river,rieka
aunt,teta
patient,pacient
kitchen,kuchyňa
aah,aah
fat,tuk
passed,prešiel
m,m
final,Konečný
summer,Leto
bob,bob
listening,počúvanie
escape,únik
everywhere,všade
moon,mesačný
arms,náryvok
turns,zákruty
address,osloviť
ow,zatlačiť
match,zápas
gasps,lapanie
grand,veľkolepý
yep,jo
shh,ššš
nervous,Nervózny
de,de
choose,zvoliť si
themselves,seba
decide,rozhodnúť sa
mate,sprevádzať
drinking,pitie
press,stlačenie
bother,obťažovať
foot,noha
hadn,had
blame,vina
crap,kecy
drugs,drogy
type,typ
rings,prstene
mission,poslanie
named,pomenovaný
heaven,neba
ii,ii
picked,zvolený
paris,Paríž
race,závod
risk,riziko
books,knihy
further,ďalej
danny,šťavu
action,akcia
allowed,povolený
orders,príkazy
learned,Učil sa
price,cena
arrived,prišiel
nick,vložiť
otherwise,inak
pictures,obraz
fit,zabezpečiť
smoke,fajčiť
favor,uprednostňovať
played,hraný
notice,oznámenie
awesome,úžasné
smile,úsmev
director,riaditeľ
guard,strážca
begin,začať
spot,nafúknuť
surprised,prekvapený
innocent,nevinný
narrator,rozprávač
herself,sama
london,Londýn
feelings,citlivosť
enemy,nepriateľ
battle,bojovať
ourselves,sami
alex,Alex
dollars,doláre
allow,povoliť
nine,deväť
gay,homosexuálny
department,oddelenie
guilty,vinný
apart,od seba
earlier,predchádzajúci
duty,povinnosť
jim,jim
suit,vhodný
bell,zvonček
west,západný
legs,nôh
hero,hrdina
destroy,zničiť
stage,pódium
bunch,partia
according,podľa
chicken,kura
bigger,väčší
grunting,chrotajúci
low,nízky
helping,pomoc
admit,pripustiť
closed,ZATVORENÉ
names,mená
witness,svedectvo
upstairs,na poschodí
arm,rameno
steal,ukradnúť
jimmy,jimmy
kick,kopať
twice,dvakrát
cross,kríž
ways,spôsoby
sergeant,seržant
indeed,naozaj
gas,plyn
keeping,utrpenie
energy,energia
pregnant,tehotný
waste,mrhať
helped,pomohol
fired,prepustený
favorite,obľúbený
tony,tony
taste,ochutnať
locked,zamknutý
places,Miesta
writing,písanie
adam,Adam
brothers,bratia
starts,začiatok
prince,princ
form,forma
sold,predaný
silly,hnusný
mention,spomenúť
build,stavať
throat,krk
hole,diera
figured,vymyslený
track,stopa
ringing,zvonenie
lock,zámok
leg,noha
above,nad
hiding,skrytie
steve,stĺpik
seemed,zdalo sa
breakfast,raňajky
engine,motor
written,napísaný
complete,dokončiť
video,video
applause,potlesk
however,však
pressure,tlak
fresh,čerstvý
weapon,zbraň
sky,obloha
ms.,pani.
stole,ukradnutý
study,štúdium
burn,popáliť
reading,čítanie
crowd,dav
treat,zaobchádzať
roll,vŕtať sa
double,zdvojnásobiť
spirit,duchovnosť
danger,nebezpečenstvo
cost,náklady
empty,vyprázdniť
level,vyrovnanie
memory,Pamäť
itself,samotný
acting,hranie
interest,záujmy
nose,zjazd
plans,plány
following,nasledujúci
bathroom,kúpeľňa
built,postavený
closer,bližšie
ray,lúč
sarah,sarah
band,kapela
groans,stonanie
apparently,zjavne
excited,nadšený
richard,Richard
losing,strata
animals,zvieratá
flight,let
nature,povaha
raise,zvýšiť
pop,popovávať
client,zákazník
bomb,bomba
neck,krk
suspect,podozrivý
warm,ohriať
extra,navyše
bottle,fľaša
van,dodávka
heavy,ťažký
mommy,mamina
dogs,psie
wild,divoký
ridiculous,Absurdné
simply,jednoducho
lee,závetrie
animal,zviera
showed,ukázať
billy,billy
shooting,Streľba
keeps,uchovávať
camp,kemp
guns,zbrane
medical,lekársky
shame,hanba
hoping,v nádeji
whom,kto
bird,vták
majesty,veličenstvo
flowers,kvety
famous,slávny
asleep,zaspať
beauty,krása
driver,vodič
keys,kľúče
rain,dážď
awful,strašný
large,veľký
local,miestny
deserve,zaslúžiť si
goddamn,zatracený
stone,kameň
jane,Jane
grace,milosť
consider,zvážiť
weekend,víkend
wondering,premýšľal
lay,uložiť
plenty,veľa
willing,ochotný
pants,nohavice
sweetheart,zlatíčko
skin,koža
excellent,vynikajúci
asshole,kretén
beach,pláž
c,c
faith,vernosť
beg,žobrať
fuckin,kurva
responsible,zodpovedný
military,armáda
cheering,fandenie
opportunity,príležitosť
common,bežný
bottom,dolná časť
german,nemecký
whoever,ktokoľvek
cook,variť
walked,prechádzka
papers,noviny
justice,spravodlivosť
hall,hala
commander,veliteľ
drug,droga
main,Hlavná
knife,nôž
devil,diabol
necessary,potrebný
although,hoci
princess,princezná
lights,svetlá
flying,lietajúci
dick,vták
rose,ruža
knowing,vedomý
clearly,jasne
hat,klobúk
agreed,dohodnutý
johnny,johnny
corner,roh
code,kódovať
note,Poznámka
tommy,tm
due,náležitý
correct,oprávnený
apologize,ospravedlniť sa
language,Jazyk
stars,hviezda
faster,rýchlejšie
cars,autá
folks,ľudia
bullshit,hovadina
i.,i.
fellow,chlapík
several,niekoľko
grandma,babka
shows,relácie
leader,vodca
leaves,listy
restaurant,reštaurácia
east,východ
shouting,krik
blind,slepý
ghost,duch
cup,pohár
gotten,dostali
tight,tesný
conversation,konverzácia
tells,rozprávať
lies,lži
nor,ani
pulled,vytiahnutý
hanging,závesný
speed,rýchlosť
stories,príbehy
health,zdravie
advice,poradiť
held,udelený
uh-huh,uh-huh
murdered,zavraždený
beyond,nad
rule,vláda
hardly,ťažko
possibly,prípadne
inspector,inšpektor
cousin,bratranec
trial,pokus
emergency,pohotovosť
ought,by sa mal
eddie,eddie
somehow,nejako
hearing,vypočutie
states,štáty
account,účtovať
spoke,trvať
file,podpis
understood,pochopený
angel,anjelský
tape,páska
milk,mlieko
powerful,silný
weapons,zbrane
practice,prax
manager,manažér
pardon,odpustenie
vote,hlasovanie
jake,búda
national,národný
career,kariéra
minister,posudok
super,Super
taught,vyučovaný
robert,Robert
biggest,najväčší
plays,hrania
natural,prirodzený
dancing,tanečný
copy,kopírovať
plus,plus
martin,Martin
cake,koláč
freedom,sloboda
among,medzi
breath,dych
operation,činnosť
chris,chris
crew,posádka
challenge,výzva
market,trh
meat,mäso
towards,smerom k
bringing,prinášanie
dropped,spadnutý
student,študent
lied,klamný
strength,pevnosť
size,veľkosť
breathe,dýchať
color,farebný
monster,monštrum
loud,hlasný
photo,fotografia
aw,aw
nearly,takmer
sight,pohľad
greatest,najväčší
games,hier
bridge,Most
dressed,oblečený
arrested,zatknutý
horrible,hrozný
coach,tréner
planning,plánovanie
checked,skontrolovaný
breaking,prelomenie
noticed,všimnutý
fantastic,fantastický
screams,výkrik
serve,slúžiť
ideas,nápady
investigation,vyšetrovanie
center,stred
older,starší
pack,balenie
soldiers,vojaci
nonsense,nezmysel
doc,doc
project,projekt
training,výcvik
example,príklad
trick,trik
prepared,pripravený
science,veda
united,zjednotený
travel,cestovanie
incredible,neuveriteľný
grandpa,dedko
paying,výplatný
character,znak
teeth,zuby
criminal,kriminálny
charles,charles
chinese,čínsky
truly,skutočne
honestly,úprimne
bro,brada
survive,prežiť
bobby,bobby
target,cieľ
feed,kŕmenie
nurse,ošetrovať
e,e
fake,vylúčiť
records,záznam
breathing,dýchanie
sweetie,zlatíčko
numbers,počet
oil,olej
suicide,samovražda
belong,patriť
whoo,hieš
perfectly,dokonale
amy,amy
forgotten,zabudnutý
remain,zostať
original,pôvodný
papa,pápež
onto,na
concerned,zainteresovaný
credit,úver
ugh,ugh
invited,pozvaný
discuss,diskutovať
research,výskum
easier,ľahší
view,vyhliadka
chair,stolička
hurts,bolí
strike,zasiahnuť
roger,roger
fill,vyplniť
condition,stav
mountain,vrch
dr,DR
nowhere,nikde
sheriff,šerif
kim,km
turning,otáčanie
brown,hnedý
recognize,uznať
heads,hlava
audience,publikum
all,všetko
jealous,žiarlivý
pretend,predstierať
society,spoločnosť
finding,nález
shirt,tričko
comfortable,pohodlný
meaning,význam
guest,hosť
pieces,kusy
dry,suchý
letting,prepustenie
began,začal
aye,aye
jeff,hrebeň
female,Žena
release,prepustenie
ho,hrebeň
cards,karty
pray,modliť sa
unfortunately,bohužiaľ
balls,loptička
destroyed,zničený
ended,ukončený
universe,vesmír
prepare,pripraviť sa
opinion,názor
movies,filmy
soldier,vojak
wash,umyť
program,program
heat,zahrievať
usual,obvyklý
ticket,lístok
stolen,ukradnutý
prefer,uprednostňovať
aware,vedomý
surely,určite
male,Muž
base,základňa
matters,záležitosti
lift,zdvíhať
lab,laboratórium
command,príkaz
proof,dôkaz
cream,smotana
selling,predajný
believed,verný
create,vytvárať
h,h
afford,poskytnúť
sunday,nedeľa
total,Celkom
dumb,hlúpy
threw,hodiť
france,Francúzsko
birth,pôrod
created,vytvorený
realized,realizovaný
british,britský
noise,hluk
nuts,orechy
students,študent
birds,vták
social,sociálna
brilliant,brilantný
bodies,tela
tie,zviazať
opened,otvorený
ours,náš
bucks,babka
kevin,kevin
mister,pán
ugly,škodlivý
ryan,ryž
focus,zameranie
dan,dan
opens,otvoriť sa
exist,existovať
followed,sledovaný
england,Anglicko
draw,čerpať
purpose,účel
letters,písmená
daniel,daniel
opening,úvodný
bullet,guľka
anna,anna
lately,v poslednej dobe
stayed,zostávajúci
falling,pokles
season,obdobie
ends,konce
suggest,navrhovať
joy,radosť
distance,vzdialenosť
responsibility,zodpovednosť
whenever,kedykoľvek
issue,problém
thousands,tisíce
process,spracovanie
sword,meč
shower,sprcha
weak,slabý
fucked,v prdeli
lonely,osamelý
happiness,šťastie
eric,eric
tiny,drobný
desk,stopka
pool,primievať
property,nehnuteľnosť
forced,nútený
settle,usadiť sa
indistinct,neurčitý
weight,váha
received,prijatý
gang,gang
bite,hrýsť
friday,piatok
disappeared,zmizol
interview,rozhovor
expecting,očakávaný
kinda,trochu
surgery,chirurgia
horses,kone
mayor,starosta
babe,mačiatko
ancient,staroveký
handsome,príjemný
thomas,Thomas
saturday,sobota
staff,personál
lines,čiarka
unit,jednotka
fan,ventilátor
gentleman,pán
introduce,vložiť
fate,osud
split,štiepenie
recently,nedávno
expected,očakávaný
add,pridať
ordered,usporiadaný
slowly,pomaly
alarm,alarm
member,člen
slept,spať
signed,podpísaný
enter,vstup
spanish,španielsky
garden,záhradný
brings,prinášať
brave,statočný
pig,ošípané
model,Model
finger,prsta
medicine,liek
access,prístup
failed,neúspešný
flat,plochý
easily,ľahko
discovered,objavený
based,založený
screw,skrutka
insane,šialený
cares,starať sa
weather,zverenie
fingers,prsty
san,SAN
scott,scott
path,cesta
soft,jemný
harm,ublížiť
style,štýl
community,komunita
sees,vidieť
basically,v podstate
al,al
signal,signalizácia
nope,nie
spare,rezervný
speech,prejav
covered,pokrytý
shake,triasť
loose,voľný
snow,sneh
russian,ruský
lake,jazero
bright,jasný
roof,strecha
ohh,ohh
sending,zasielanie
paint,maľba
remind,pripomenúť
pal,premávať
naked,neohrozený
post,post
sugar,cukor
heading,nadpis
streets,ulice
damage,poškodenie
silence,umlčať
doors,dvere
pete,pete
ed,edimatizovať
success,úspech
wet,mokrý
nah,nie
amount,výška
members,členovia
kate,kate
manage,spravovať
safety,bezpečnosť
returned,vrátený
harder,ťažší
fbi,FBI
block,blokovať
showing,predstavenie
fancy,fantázia
chef,kuchári
contract,zmluva
dig,kopať
chest,hrudník
good-bye,Zbohom
drinks,nápoj
dave,dav
buried,pochovaný
brian,Brian
trade,obchod
journey,cesta
stomach,brucho
changes,zmeny
details,podrobnosti
thoughts,úvaha
divorce,rozvod
funeral,pohreb
maria,Mária
football,futbal
reality,skutočnosť
theory,teória
gosh,sakra
ruined,zničený
gate,brána
william,William
spread,šírenie
outta,zjazd
